Abbott, BP
Ezzeddine, R
Tanaka, M
Beniamini, P
Zhu, JP
Vassh, N
van de Voort, F
Tarumi, Y
Foley, RJ
Radziute, L
Fischer, T
Fontes, CJ
Hotokezaka, K
Capano, CD
Yuan, Z
Obergaulinger, M
Ertl, T
Kyutoku, K
Korobkin, O
Kawaguchi, K
Bugli, M
Grisoni, V
Skuladottir, A
Ebinger, K
Jin, ZP
Burrows, A
Barbieri, C
Cote, B
Christie, IM
Bonetti, M
Coughlin, MW
Mishenina, T
Hamers, AS
Marshall, JL
Zhou, P
Ji, AP
Holmbeck, EM
Wehmeyer, B
Wu, MR
Eichler, M
Schonrich, RA
Waxman, E
Grichener, A
Hill, V
Ascenzi, S
Simonetti, P
Ardevol-Pulpillo, R
Macias, P
Sieverding, A
Kasen, D
Pakhomov, YV
Desai, D
Muller, B
Haynes, CJ
Safarzadeh, M
Brauer, K
Fernandez, R
Curtis, S
Radice, D
Emerick, A
Wu, YY
Mumpower, MR
Vigna-Gomez, A
Sakari, CM
Janiuk, A
Cabezon, RM
Camelio, G
Roederer, IU
Ojima, T
Abohalima, A
Mosta, P
Zhu, Y
Vescovi, D
Rosswog, S
Villar, VA
Limongi, M
Ishii, A
Fujibayashi, S
Gompertz, BP
Kuroda, T
Halevi, G
Hansen, TT
Siegel, DM
Pan, KC
Metzger, BD
Corlies, L
Nishimura, N
Travaglio, C
Rezzolla, L
Goldstein, DA
Wanajo, S
Gottlieb, O
Bauswein, A
Perego, A
Lippuner, J
Margalit, B
Nicholl, M
Chornock, R
Cowperthwaite, PS
Nicholls, M
Soares-Santos, M
Tanvir, NR
Richers, S
Guilet, J
Placco, VM
Hirai, Y
Yong, D
Aoki, M
Roberts, LF
Bisterzo, S
Denissenkov, PA
Kaspi, VM
Komiya, Y
Montes, G
Barnes, J
Weisberg, JM
Jones, S
Goriely, S
Mennekens, N
Sukhbold, T
Frischknecht, U
Battistini, C
Just, O
Shibagaki, S
Ozel, F
Vangioni, E
Martin, D
Fryer, CL
Nakamura, K
Giacomazzo, B
Pllumbi, E
Li, HN
Shen, SJ
Ishimaru, Y
Cescutti, G
Ural, U
Wanderman, D
Ramirez-Ruiz, E
Foglizzo, T
Frebel, A
Minchev, I
Mashonkina, L
Moriya, TJ
Kratz, KL
Seitenzahl, IR
Karakas, AI
Kaplan, JD
Tsujimoto, T
Grossman, D
Matteucci, F
Ripley, JL
Bensby, T
Maoz, D
Kirby, EN
Hebeler, K
Zrake, J
Piran, T
Mello, CS
Nomoto, K
Aoki, W
Hansen, CJ
Winteler, C
Boyd, RN
Takiwaki, T
Sekiguchi, Y
Arcones, A
Belczynski, K
Panov, IV
Farouqi, K
Ludwig, HG
Harikae, S
Spitoni, E
Hayek, W
Liebendorfer, M
Recchi, S
Lawler, JE
Sneden, C
Dessart, L
Asplund, M
Suda, T
Janka, HT
Fujimoto, SI
Surman, R
Francois, P
Hix, WR
Honda, S
Nadyozhin, DK
Oechslin, R
Nagataki, S
Fujimoto, S
Kobayashi, C
Renaud, M
Ivans, II
Pruet, J
Nishimura, S
Reddy, BE
Kitaura, FS
Frohlich, C
Marek, A
Barklem, PS
Cowan, JJ
Beers, TC
Simmerer, J
Cohen, JG
Terasawa, M
Argast, D
Cayrel, R
De Donder, E
Baumgarte, TW
Freiburghaus, C
Ritter, C
Naiman, JP
Spite, F
Chruslinska, M
Griffen, BF
Pillepich, A
Wang, H
Casey, AR
Mackereth, JT
Harris, JA
Vlasov, AD
Andrews, BH
Naab, T
Tumlinson, J
Pignatari, M
Miranda, MS
Bland-Hawthorn, J
Koposov, SE
Walker, MG
Cristallo, S
Simon, JD
Voit, GM
Gallagher, AJ
Bechtol, K
Kim, C
Romano, D
Somerville, RS
Schaye, J
Brown, TM
Behroozi, PS
Bergemann, M
Peeples, MS
Yu, YW
Fong, W
Lee, DM
Berger, E
Dominik, M
Pilkington, K
Wise, JH
Bovill, MS
Klypin, AA
Barbuy, B
Herwig, F
Heger, A
Tolstoy, E
Collet, R
Lai, DK
Montes, F
Lundqvist, M
Fenner, Y
Christlieb, N
Chieffi, A
Gratton, R
Fields, CE
Vagnozzi, S
Vinyoles, N
Hou, SQ
Cyburt, RH
Bramante, J
Starrfield, S
Trippella, O
Chiosi, E
Coelho, JG
Hansen, T
Ruiter, AJ
Zamora, O
Vogelsberger, M
Wang, B
Yates, RM
Banerjee, I
Bertulani, CA
Yan, XL
Boshkayev, K
Haxton, WC
Chen, X
van Raai, MA
Liu, JF
Lugaro, M
Serenelli, AM
Khatri, R
Iliadis, C
Caffau, E
Kusakabe, M
Peng, F
Diehl, R
Magkotsios, G
Voss, R
Monaco, L
Tur, C
Guzik, JA
Martin, P
Guillochon, J
Garcia-Hernandez, DA
Eriksen, KA
Izutani, N
Komatsu, E
Fisker, JL
Tan, KF
Parikh, A
Nordhaus, J
Wang, W
Cui, WY
Rapp, W
Delahaye, F
Bahcall, JN
Meyner, G
Ventura, P
Kalogera, V
Coc, A
Bromm, V
Ryan, SG
Casanova, J
Malone, CM
Brown, WR
Piersanti, L
Althaus, LG
Loren-Aguilar, P
Nguyen, AN
Gyngard, F
Jose, J
Maeda, K
Tavani, M
Dotter, A
Townsley, DM
Bravo, E
Hinshaw, G
Gehrels, N
Christensen-Dalsgaard, J
Straniero, O
Kappeler, F
Pettini, M
Rauch, T
Kowalski, M
Nittler, LR
Chamulak, DA
Zhukovska, S
Cottam, J
Weinberg, NN
Kong, AKH
Percival, WJ
Ropke, FK
Peimbert, M
Meng, XC
Glasner, SA
Izzard, RG
Clayton, GC
Bildsten, L
Garcia-Berro, E
Chen, WX
Castro, M
Bonifacio, P
MacAlpine, GM
Tylenda, R
Stritzinger, M
Schmidt, W
Young, PA
Buras, R
Chang, P
Woosley, SE
Golombek, I
Gamezo, VN
Yaron, O
Antia, HM
Garcia-Senz, D
Pietsch, W
Plewa, T
Basu, S
Marsh, TR
Koike, O
Clayton, DD
Guerrero, J
Yoshida, T
Hernanz, M
Kaminski, T
Spina, L
Jofre, P
Goldstein, A
Murguia-Berthier, A
Savchenko, V
Mazzali, PA
Famiano, MA
Kuffmeier, M
Siegert, T
Krause, MGH
Kerzendorf, WE
Kretschmer, K
Hempel, M
Nagakura, H
Mathews, GJ
Barkov, MV
Mizuno, Y
Komissarov, SS
Gilmour, JD
McKinney, JC
Hawley, JF
Sawai, H
de Avillez, MA
Aloy, MA
Couch, SM
Melson, T
Ade, PAR
Pizzone, RG
Tumino, A
Cooke, RJ
Abdo, AA
Lind, K
Caciolli, A
Noterdaeme, P
Sbordone, L
Izotov, YI
Abbasi, R
Sasaqui, T
Hayakawa, T
Manchester, RN
Bennett, ME
Maiorca, E
Wallner, A
El Eid, MF
Reifarth, R
Grevesse, N
The, LS
Tomyo, A
Zevin, M
Gabici, S
Suzuki, T
Glas, R
Bartos, I
Shanks, T
Leung, SC
Meisel, Z
Maiolino, R
Kable, JA
Vartanyan, D
Mori, K
Mocak, M
Pearson, JM
Zhang, LY
Guiglion, G
Banerjee, P
Ghazaryan, S
Israel, MH
Grimmett, JJ
Riess, AG
Lefloch, B
Ritchey, AM
Prantzos, N
Takahashi, K
Jerkstrand, A
Clarkson, O
Schwab, J
Doherty, CL
Choplin, A
Cristini, A
Matsuura, M
Reddy, ABS
Fonseca, E
Aguado, DS
Sullivan, C
Hollek, JK
Maurin, D
Chen, KJ
Fantina, AF
West, C
Xu, Y
Liu, MC
Helton, LA
Donnelly, J
Ivezic, Z
Campbell, SW
Gaidos, E
Duprat, J
Tatischeff, V
Arnould, M
Aikawa, M
Cowley, CR
Caniulef, DG
Lam, YH
Borghese, A
Di Carlo, UN
Udall, R
Tagawa, H
van Son, LAC
Pang, PTH
Abbott, R
Fragione, G
McKernan, B
Doctor, Z
Lin, DC
Renzo, M
Fishbach, M
Jani, K
Mapelli, M
Farmer, R
Romero-Shaw, IM
Bouffanais, Y
Baumgardt, H
Stevenson, S
Marchant, P
Fuller, J
Powell, J
Andresen, H
Yang, Y
Spera, M
Mann, CR
Ashton, G
Hannuksela, OA
Zocchi, A
Samsing, J
Monari, G
Mezcua, M
Generozov, A
Tremou, E
Gondan, L
Li, SS
Hoang, BM
Talbot, C
Smith, GP
Giacobbo, N
Farr, B
Antonini, F
Perera, BBP
Clesse, S
Baldassare, VF
Silsbee, K
Kaaret, P
Stone, NC
Kimpson, TO
Rodriguez, CL
Hofmann, F
Bellovary, JM
